PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
"6,10408E+15",RT 003 RW 008 DUSUN ALIANYANG,3,0,0,0,0,0,0,3,100,0,0,0,0
61040800020041,RT 001 RW 009 DUSUN ALIANYANG,2,0,0,0,0,0,0,2,100,0,0,0,0
"6,10408E+15",RT 001 RW 009 DUSUN ALIANYANG,2,0,0,0,0,0,0,2,100,0,0,0,0
61040800020042,RT 002 RW 009 DUSUN ALIANYANG,5,0,0,0,0,0,0,5,100,0,0,0,0
"6,10408E+15",RT 002 RW 009 DUSUN ALIANYANG,5,0,0,0,0,0,0,5,100,0,0,0,0
61040800020043,RT 003 RW 009 DUSUN ALIANYANG,2,0,0,0,0,0,0,1,50,0,0,0,0
"6,10408E+15",RT 003 RW 009 DUSUN ALIANYANG,2,0,0,0,0,0,0,1,50,0,0,0,0
61040800020044,RT 001 RW 017 DUSUN SULTAN MUHAMMAD,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 017 DUSUN SULTAN MUHAMMAD,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020045,RT 002 RW 017 DUSUN SULTAN MUHAMMAD,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 017 DUSUN SULTAN MUHAMMAD,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020046,RT 001 RW 018 DUSUN SULTAN MUHAMMAD,8,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 018 DUSUN SULTAN MUHAMMAD,8,0,0,0,0,0,0,0,0,0,0,0,0
61040800020047,RT 002 RW 018 DUSUN SULTAN MUHAMMAD,5,0,0,0,0,0,0,5,100,0,0,0,0
"6,10408E+15",RT 002 RW 018 DUSUN SULTAN MUHAMMAD,5,0,0,0,0,0,0,5,100,0,0,0,0
61040800020048,RT 001 RW 010 DUSUN RADEN TAUFIK,6,0,0,0,0,0,0,4,"66,67",0,0,0,0
"6,10408E+15",RT 001 RW 010 DUSUN RADEN TAUFIK,6,0,0,0,0,0,0,4,"66,67",0,0,0,0
61040800020049,RT 002 RW 010 DUSUN RADEN TAUFIK,9,0,0,0,0,0,0,7,"77,78",1,"11,11",1,"11,11"
"6,10408E+15",RT 002 RW 010 DUSUN RADEN TAUFIK,9,0,0,0,0,0,0,7,"77,78",1,"11,11",1,"11,11"
61040800020050,RT 003 RW 010 DUSUN RADEN TAUFIK,3,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 010 DUSUN RADEN TAUFIK,3,0,0,0,0,0,0,0,0,0,0,0,0
61040800020051,RT 004 RW 010 DUSUN RADEN TAUFIK,1,0,0,0,0,0,0,1,100,0,0,0,0
"6,10408E+15",RT 004 RW 010 DUSUN RADEN TAUFIK,1,0,0,0,0,0,0,1,100,0,0,0,0
61040800020052,RT 005 RW 010 DUSUN RADEN TAUFIK,3,0,0,1,"33,33",0,0,0,0,1,"33,33",1,"33,33"
"6,10408E+15",RT 005 RW 010 DUSUN RADEN TAUFIK,3,0,0,1,"33,33",0,0,0,0,1,"33,33",1,"33,33"
61040800020053,RT 001 RW 011 DUSUN RADEN TAUFIK,7,0,0,0,0,0,0,6,"85,71",0,0,0,0
"6,10408E+15",RT 001 RW 011 DUSUN RADEN TAUFIK,7,0,0,0,0,0,0,6,"85,71",0,0,0,0
61040800020054,RT 002 RW 11 DUSUN RADEN TAUFIK,8,0,0,0,0,0,0,1,"12,5",0,0,0,0
"6,10408E+15",RT 002 RW 11 DUSUN RADEN TAUFIK,8,0,0,0,0,0,0,1,"12,5",0,0,0,0
61040800020055,RT 001 RW 01 DUSUN RAHADI USMAN,8,1,"12,5",0,0,0,0,3,"37,5",0,0,1,"12,5"
"6,10408E+15",RT 001 RW 01 DUSUN RAHADI USMAN,8,1,"12,5",0,0,0,0,3,"37,5",0,0,1,"12,5"
61040800020056,RT 002 RW 01 DUSUN RAHADI USMAN,10,0,0,5,50,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 01 DUSUN RAHADI USMAN,10,0,0,5,50,0,0,0,0,0,0,0,0
61040800020057,RT 003 RW 01 DUSUN RAHADI USMAN,10,0,0,0,0,0,0,3,30,0,0,0,0
"6,10408E+15",RT 003 RW 01 DUSUN RAHADI USMAN,10,0,0,0,0,0,0,3,30,0,0,0,0
61040800020058,RT 001 RW 15 DUSUN RAHADI USMAN,9,2,"22,22",0,0,0,0,6,"66,67",0,0,2,"22,22"
"6,10408E+15",RT 001 RW 15 DUSUN RAHADI USMAN,9,2,"22,22",0,0,0,0,6,"66,67",0,0,2,"22,22"
61040800020059,RT 002 RW 15 DUSUN RAHADI USMAN,3,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 15 DUSUN RAHADI USMAN,3,0,0,0,0,0,0,0,0,0,0,0,0
61040800020060,RT 003 RW 15 DUSUN RAHADI USMAN,6,0,0,0,0,0,0,6,100,0,0,0,0
"6,10408E+15",RT 003 RW 15 DUSUN RAHADI USMAN,6,0,0,0,0,0,0,6,100,0,0,0,0
61040800020061,RT 004 RW 15 DUSUN RAHADI USMAN,2,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 004 RW 15 DUSUN RAHADI USMAN,2,0,0,0,0,0,0,0,0,0,0,0,0
61040800020062,RT 005 RW 15 DUSUN RAHADI USMAN,5,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 005 RW 15 DUSUN RAHADI USMAN,5,0,0,0,0,0,0,0,0,0,0,0,0
61040800020063,RT 001 RW 20 DUSUN RADEN WIJAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 20 DUSUN RADEN WIJAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020064,RT 002 RW 20 DUSUN RADEN WIJAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 20 DUSUN RADEN WIJAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020065,RT 001 RW 21 DUSUN RADEN WIJAYA,9,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 21 DUSUN RADEN WIJAYA,9,0,0,0,0,0,0,0,0,0,0,0,0
61040800020066,RT 002 RW 21 DUSUN RADEN WIJAYA,2,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 21 DUSUN RADEN WIJAYA,2,0,0,0,0,0,0,0,0,0,0,0,0
61040800020067,RT 001 RW 22 DUSUN RADEN WIJAYA,3,0,0,0,0,0,0,0,0,0,0,0,0
